target_kind,complexity,noise_std,model,dim,eig_idx,budget,selected_lr,median_test_rmse,q25_test_rmse,q75_test_rmse,mean_test_rmse,n
monotone,10,0.0,unconstrained,15,7,10,0.0372759372031493,0.15995027869939804,0.13065598160028455,0.20916360616683957,0.17323534912429747,96
monotone,10,0.0,unconstrained,15,7,20,0.0372759372031493,0.12250088155269614,0.09167867153882975,0.14387298375368113,0.12532961461693046,96
monotone,10,0.0,unconstrained,15,7,50,0.0372759372031493,0.060716995969414655,0.046844123862683724,0.08633287437260148,0.07333435219091669,96
monotone,10,0.0,unconstrained,15,7,100,0.0372759372031493,0.0435641929507255,0.0283965328708291,0.06506905332207673,0.05423436627218806,96
monotone,10,0.0,unconstrained,15,7,200,0.0372759372031493,0.03151062969118355,0.023537008557468576,0.044758371077477876,0.04274633781945639,96
monotone,10,0.0,unconstrained,15,7,500,0.0372759372031493,0.0218519046902656,0.01421649800613515,0.03208302985876797,0.026772659257403523,96
monotone,20,0.0,monotone,5,2,1,0.1,0.6644167006015778,0.445279948413372,0.7214374393224716,0.6110296857853731,96
monotone,20,0.0,monotone,5,2,2,0.1,0.4681165367364883,0.33926025778055185,0.5233035683631897,0.4485586464094619,96
monotone,20,0.0,monotone,5,2,5,0.1,0.22452370822429654,0.17487427219748494,0.27824126183986664,0.23204422563624874,96
monotone,20,0.0,monotone,5,2,10,0.1,0.1975612193346023,0.16673469543457028,0.23977907747030253,0.20597485134688512,96
monotone,20,0.0,monotone,5,2,20,0.0372759372031493,0.17678097635507578,0.1565129868686199,0.20835100114345548,0.18788147919500864,96
monotone,20,0.0,monotone,5,2,50,0.0372759372031493,0.1461388766765594,0.12903632782399652,0.16727194935083387,0.15475933610772089,96
monotone,20,0.0,monotone,5,2,100,0.0372759372031493,0.12841691076755518,0.10267811082303521,0.15032512322068206,0.13495281210634855,96
monotone,20,0.0,monotone,5,2,200,0.0372759372031493,0.10235380381345746,0.08368296176195138,0.12411255389451975,0.1106068062751243,96
monotone,20,0.0,monotone,5,2,500,0.1,0.07003641501069065,0.0557625209912657,0.10323282517492766,0.08720046314798913,96
monotone,20,0.0,monotone,9,4,1,0.1,0.5837641954421997,0.5368289947509766,0.6806977391242981,0.6035538340608279,96
monotone,20,0.0,monotone,9,4,2,0.1,0.442674458026886,0.39626286178827286,0.5114549398422241,0.4496649286399285,96
monotone,20,0.0,monotone,9,4,5,0.1,0.25315302610397333,0.21011471375823018,0.2910129725933075,0.2529785734756539,96
monotone,20,0.0,monotone,9,4,10,0.1,0.2070532217621803,0.18166306614875788,0.23108704760670656,0.21156259928829965,96
monotone,20,0.0,monotone,9,4,20,0.0372759372031493,0.1755769252777099,0.1502260863780975,0.2088091410696506,0.18397688275823987,96
monotone,20,0.0,monotone,9,4,50,0.1,0.13740010559558866,0.11310441792011254,0.16868520528078076,0.14326568452330923,96
monotone,20,0.0,monotone,9,4,100,0.1,0.10675785318017,0.0872500371187925,0.12431015819311139,0.10879994051841395,96
monotone,20,0.0,monotone,9,4,200,0.1,0.07662057876586906,0.06593066640198228,0.10162050835788244,0.08499533236802863,96
monotone,20,0.0,monotone,9,4,500,0.1,0.06545156985521311,0.04936343338340515,0.08031434379518029,0.0671425224669898,96
monotone,20,0.0,monotone,15,7,1,0.1,0.5340093374252319,0.4914439097046852,0.5940939784049988,0.5453340662643313,96
monotone,20,0.0,monotone,15,7,2,0.1,0.4553448110818863,0.41353990882635117,0.4894125312566757,0.45650382712483406,96
monotone,20,0.0,monotone,15,7,5,0.1,0.2226052358746528,0.19266393780708307,0.25512862950563425,0.22695363770859933,96
monotone,20,0.0,monotone,15,7,10,0.1,0.20071054250001905,0.17729051038622853,0.22540810331702232,0.20613498403690753,96
monotone,20,0.0,monotone,15,7,20,0.0372759372031493,0.1667573079466819,0.15159028023481363,0.20626112818717954,0.18225587283571557,96
